"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Statistical Area 2","243700","Petone Central","4","Don't know","21","  2.2"
2018,"Statistical Area 2","243700","Petone Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","243700","Petone Central","9","Not stated","0",".."
2018,"Statistical Area 2","243700","Petone Central","Total","Total","954",".."
2018,"Statistical Area 2","243700","Petone Central","Total stated","Total stated","954","100.0"
2018,"Statistical Area 2","243800","Tirohanga","1","Maori descent","90","  7.0"
2018,"Statistical Area 2","243800","Tirohanga","2","No Maori descent","1176"," 91.4"
2018,"Statistical Area 2","243800","Tirohanga","4","Don't know","18","  1.4"
2018,"Statistical Area 2","243800","Tirohanga","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","243800","Tirohanga","9","Not stated","0",".."
2018,"Statistical Area 2","243800","Tirohanga","Total","Total","1287",".."
2018,"Statistical Area 2","243800","Tirohanga","Total stated","Total stated","1287","100.0"
2018,"Statistical Area 2","243900","Manor Park","1","Maori descent","54"," 12.9"
2018,"Statistical Area 2","243900","Manor Park","2","No Maori descent","333"," 79.9"
2018,"Statistical Area 2","243900","Manor Park","4","Don't know","30","  7.2"
2018,"Statistical Area 2","243900","Manor Park","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","243900","Manor Park","9","Not stated","0",".."
2018,"Statistical Area 2","243900","Manor Park","Total","Total","417",".."
2018,"Statistical Area 2","243900","Manor Park","Total stated","Total stated","417","100.0"
2018,"Statistical Area 2","244000","Alicetown-Melling","1","Maori descent","381"," 13.6"
2018,"Statistical Area 2","244000","Alicetown-Melling","2","No Maori descent","2355"," 84.3"
2018,"Statistical Area 2","244000","Alicetown-Melling","4","Don't know","57","  2.0"
2018,"Statistical Area 2","244000","Alicetown-Melling","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244000","Alicetown-Melling","9","Not stated","0",".."
2018,"Statistical Area 2","244000","Alicetown-Melling","Total","Total","2793",".."
2018,"Statistical Area 2","244000","Alicetown-Melling","Total stated","Total stated","2793","100.0"
2018,"Statistical Area 2","244100","Taita North","1","Maori descent","771"," 25.1"
2018,"Statistical Area 2","244100","Taita North","2","No Maori descent","2190"," 71.2"
2018,"Statistical Area 2","244100","Taita North","4","Don't know","117","  3.8"
2018,"Statistical Area 2","244100","Taita North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244100","Taita North","9","Not stated","0",".."
2018,"Statistical Area 2","244100","Taita North","Total","Total","3075",".."
2018,"Statistical Area 2","244100","Taita North","Total stated","Total stated","3075","100.0"
2018,"Statistical Area 2","244200","Boulcott","1","Maori descent","279"," 10.7"
2018,"Statistical Area 2","244200","Boulcott","2","No Maori descent","2289"," 87.6"
2018,"Statistical Area 2","244200","Boulcott","4","Don't know","48","  1.8"
2018,"Statistical Area 2","244200","Boulcott","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244200","Boulcott","9","Not stated","0",".."
2018,"Statistical Area 2","244200","Boulcott","Total","Total","2613",".."
2018,"Statistical Area 2","244200","Boulcott","Total stated","Total stated","2613","100.0"
2018,"Statistical Area 2","244300","Hutt Central North","1","Maori descent","105"," 11.0"
2018,"Statistical Area 2","244300","Hutt Central North","2","No Maori descent","831"," 87.4"
2018,"Statistical Area 2","244300","Hutt Central North","4","Don't know","15","  1.6"
2018,"Statistical Area 2","244300","Hutt Central North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244300","Hutt Central North","9","Not stated","0",".."
2018,"Statistical Area 2","244300","Hutt Central North","Total","Total","951",".."
2018,"Statistical Area 2","244300","Hutt Central North","Total stated","Total stated","951","100.0"
2018,"Statistical Area 2","244400","Avalon West","1","Maori descent","282"," 10.7"
2018,"Statistical Area 2","244400","Avalon West","2","No Maori descent","2301"," 87.6"
2018,"Statistical Area 2","244400","Avalon West","4","Don't know","42","  1.6"
2018,"Statistical Area 2","244400","Avalon West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244400","Avalon West","9","Not stated","0",".."
2018,"Statistical Area 2","244400","Avalon West","Total","Total","2628",".."
2018,"Statistical Area 2","244400","Avalon West","Total stated","Total stated","2628","100.0"
2018,"Statistical Area 2","244500","Stokes Valley Central","1","Maori descent","567"," 26.8"
2018,"Statistical Area 2","244500","Stokes Valley Central","2","No Maori descent","1497"," 70.9"
2018,"Statistical Area 2","244500","Stokes Valley Central","4","Don't know","51","  2.4"
2018,"Statistical Area 2","244500","Stokes Valley Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244500","Stokes Valley Central","9","Not stated","0",".."
2018,"Statistical Area 2","244500","Stokes Valley Central","Total","Total","2112",".."
2018,"Statistical Area 2","244500","Stokes Valley Central","Total stated","Total stated","2112","100.0"
2018,"Statistical Area 2","244600","Taita South","1","Maori descent","894"," 29.0"
2018,"Statistical Area 2","244600","Taita South","2","No Maori descent","2100"," 68.2"
2018,"Statistical Area 2","244600","Taita South","4","Don't know","87","  2.8"
2018,"Statistical Area 2","244600","Taita South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244600","Taita South","9","Not stated","0",".."
2018,"Statistical Area 2","244600","Taita South","Total","Total","3078",".."
2018,"Statistical Area 2","244600","Taita South","Total stated","Total stated","3078","100.0"
2018,"Statistical Area 2","244700","Petone East","1","Maori descent","588"," 15.1"
2018,"Statistical Area 2","244700","Petone East","2","No Maori descent","3249"," 83.2"
2018,"Statistical Area 2","244700","Petone East","4","Don't know","72","  1.8"
2018,"Statistical Area 2","244700","Petone East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244700","Petone East","9","Not stated","0",".."
2018,"Statistical Area 2","244700","Petone East","Total","Total","3906",".."
2018,"Statistical Area 2","244700","Petone East","Total stated","Total stated","3906","100.0"
2018,"Statistical Area 2","244800","Hutt Central South","1","Maori descent","273","  8.5"
2018,"Statistical Area 2","244800","Hutt Central South","2","No Maori descent","2898"," 89.9"
2018,"Statistical Area 2","244800","Hutt Central South","4","Don't know","51","  1.6"
2018,"Statistical Area 2","244800","Hutt Central South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244800","Hutt Central South","9","Not stated","0",".."
2018,"Statistical Area 2","244800","Hutt Central South","Total","Total","3225",".."
2018,"Statistical Area 2","244800","Hutt Central South","Total stated","Total stated","3225","100.0"
2018,"Statistical Area 2","244900","Stokes Valley North","1","Maori descent","711"," 20.7"
2018,"Statistical Area 2","244900","Stokes Valley North","2","No Maori descent","2628"," 76.5"
2018,"Statistical Area 2","244900","Stokes Valley North","4","Don't know","99","  2.9"
2018,"Statistical Area 2","244900","Stokes Valley North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","244900","Stokes Valley North","9","Not stated","0",".."
2018,"Statistical Area 2","244900","Stokes Valley North","Total","Total","3435",".."
2018,"Statistical Area 2","244900","Stokes Valley North","Total stated","Total stated","3435","100.0"
2018,"Statistical Area 2","245000","Petone Esplanade","1","Maori descent","534"," 20.3"
2018,"Statistical Area 2","245000","Petone Esplanade","2","No Maori descent","2019"," 76.7"
2018,"Statistical Area 2","245000","Petone Esplanade","4","Don't know","78","  3.0"
2018,"Statistical Area 2","245000","Petone Esplanade","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245000","Petone Esplanade","9","Not stated","0",".."
2018,"Statistical Area 2","245000","Petone Esplanade","Total","Total","2631",".."
2018,"Statistical Area 2","245000","Petone Esplanade","Total stated","Total stated","2631","100.0"
2018,"Statistical Area 2","245100","Epuni West","1","Maori descent","408"," 13.2"
2018,"Statistical Area 2","245100","Epuni West","2","No Maori descent","2628"," 85.0"
2018,"Statistical Area 2","245100","Epuni West","4","Don't know","51","  1.7"
2018,"Statistical Area 2","245100","Epuni West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245100","Epuni West","9","Not stated","0",".."
2018,"Statistical Area 2","245100","Epuni West","Total","Total","3090",".."
2018,"Statistical Area 2","245100","Epuni West","Total stated","Total stated","3090","100.0"
2018,"Statistical Area 2","245200","Avalon East","1","Maori descent","486"," 19.7"
2018,"Statistical Area 2","245200","Avalon East","2","No Maori descent","1926"," 78.1"
2018,"Statistical Area 2","245200","Avalon East","4","Don't know","57","  2.3"
2018,"Statistical Area 2","245200","Avalon East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245200","Avalon East","9","Not stated","0",".."
2018,"Statistical Area 2","245200","Avalon East","Total","Total","2466",".."
2018,"Statistical Area 2","245200","Avalon East","Total stated","Total stated","2466","100.0"
2018,"Statistical Area 2","245300","Woburn","1","Maori descent","165","  9.4"
2018,"Statistical Area 2","245300","Woburn","2","No Maori descent","1563"," 89.2"
2018,"Statistical Area 2","245300","Woburn","4","Don't know","24","  1.4"
2018,"Statistical Area 2","245300","Woburn","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245300","Woburn","9","Not stated","0",".."
2018,"Statistical Area 2","245300","Woburn","Total","Total","1752",".."
2018,"Statistical Area 2","245300","Woburn","Total stated","Total stated","1752","100.0"
2018,"Statistical Area 2","245400","Naenae Central","1","Maori descent","999"," 29.2"
2018,"Statistical Area 2","245400","Naenae Central","2","No Maori descent","2343"," 68.5"
2018,"Statistical Area 2","245400","Naenae Central","4","Don't know","78","  2.3"
2018,"Statistical Area 2","245400","Naenae Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245400","Naenae Central","9","Not stated","0",".."
2018,"Statistical Area 2","245400","Naenae Central","Total","Total","3420",".."
2018,"Statistical Area 2","245400","Naenae Central","Total stated","Total stated","3420","100.0"
2018,"Statistical Area 2","245500","Waterloo West","1","Maori descent","243"," 10.6"
2018,"Statistical Area 2","245500","Waterloo West","2","No Maori descent","2001"," 87.6"
2018,"Statistical Area 2","245500","Waterloo West","4","Don't know","39","  1.7"
2018,"Statistical Area 2","245500","Waterloo West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245500","Waterloo West","9","Not stated","0",".."
2018,"Statistical Area 2","245500","Waterloo West","Total","Total","2283",".."
2018,"Statistical Area 2","245500","Waterloo West","Total stated","Total stated","2283","100.0"
2018,"Statistical Area 2","245600","Epuni East","1","Maori descent","519"," 17.6"
2018,"Statistical Area 2","245600","Epuni East","2","No Maori descent","2358"," 80.0"
2018,"Statistical Area 2","245600","Epuni East","4","Don't know","75","  2.5"
2018,"Statistical Area 2","245600","Epuni East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245600","Epuni East","9","Not stated","0",".."
2018,"Statistical Area 2","245600","Epuni East","Total","Total","2949",".."
2018,"Statistical Area 2","245600","Epuni East","Total stated","Total stated","2949","100.0"
2018,"Statistical Area 2","245700","Gracefield","1","Maori descent","30"," 21.3"
2018,"Statistical Area 2","245700","Gracefield","2","No Maori descent","105"," 74.5"
2018,"Statistical Area 2","245700","Gracefield","4","Don't know","6","  4.3"
2018,"Statistical Area 2","245700","Gracefield","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245700","Gracefield","9","Not stated","0",".."
2018,"Statistical Area 2","245700","Gracefield","Total","Total","141",".."
2018,"Statistical Area 2","245700","Gracefield","Total stated","Total stated","141","100.0"
2018,"Statistical Area 2","245800","Moera","1","Maori descent","438"," 26.9"
2018,"Statistical Area 2","245800","Moera","2","No Maori descent","1143"," 70.3"
2018,"Statistical Area 2","245800","Moera","4","Don't know","45","  2.8"
2018,"Statistical Area 2","245800","Moera","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245800","Moera","9","Not stated","0",".."
2018,"Statistical Area 2","245800","Moera","Total","Total","1626",".."
2018,"Statistical Area 2","245800","Moera","Total stated","Total stated","1626","100.0"
2018,"Statistical Area 2","245900","Delaney","1","Maori descent","864"," 33.2"
2018,"Statistical Area 2","245900","Delaney","2","No Maori descent","1638"," 62.9"
2018,"Statistical Area 2","245900","Delaney","4","Don't know","102","  3.9"
2018,"Statistical Area 2","245900","Delaney","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","245900","Delaney","9","Not stated","0",".."
2018,"Statistical Area 2","245900","Delaney","Total","Total","2604",".."
2018,"Statistical Area 2","245900","Delaney","Total stated","Total stated","2604","100.0"
2018,"Statistical Area 2","246000","Waiwhetu","1","Maori descent","930"," 21.6"
2018,"Statistical Area 2","246000","Waiwhetu","2","No Maori descent","3285"," 76.3"
2018,"Statistical Area 2","246000","Waiwhetu","4","Don't know","87","  2.0"
2018,"Statistical Area 2","246000","Waiwhetu","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246000","Waiwhetu","9","Not stated","0",".."
2018,"Statistical Area 2","246000","Waiwhetu","Total","Total","4305",".."
2018,"Statistical Area 2","246000","Waiwhetu","Total stated","Total stated","4305","100.0"
2018,"Statistical Area 2","246100","Waterloo East","1","Maori descent","378"," 12.2"
2018,"Statistical Area 2","246100","Waterloo East","2","No Maori descent","2664"," 86.0"
2018,"Statistical Area 2","246100","Waterloo East","4","Don't know","54","  1.7"
2018,"Statistical Area 2","246100","Waterloo East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246100","Waterloo East","9","Not stated","0",".."
2018,"Statistical Area 2","246100","Waterloo East","Total","Total","3096",".."
2018,"Statistical Area 2","246100","Waterloo East","Total stated","Total stated","3096","100.0"
2018,"Statistical Area 2","246200","Naenae North","1","Maori descent","765"," 30.2"
2018,"Statistical Area 2","246200","Naenae North","2","No Maori descent","1677"," 66.2"
2018,"Statistical Area 2","246200","Naenae North","4","Don't know","90","  3.6"
2018,"Statistical Area 2","246200","Naenae North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246200","Naenae North","9","Not stated","0",".."
2018,"Statistical Area 2","246200","Naenae North","Total","Total","2535",".."
2018,"Statistical Area 2","246200","Naenae North","Total stated","Total stated","2535","100.0"
2018,"Statistical Area 2","246300","Manuka","1","Maori descent","330"," 19.1"
2018,"Statistical Area 2","246300","Manuka","2","No Maori descent","1365"," 79.1"
2018,"Statistical Area 2","246300","Manuka","4","Don't know","27","  1.6"
2018,"Statistical Area 2","246300","Manuka","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246300","Manuka","9","Not stated","0",".."
2018,"Statistical Area 2","246300","Manuka","Total","Total","1725",".."
2018,"Statistical Area 2","246300","Manuka","Total stated","Total stated","1725","100.0"
2018,"Statistical Area 2","246400","Naenae South","1","Maori descent","888"," 32.3"
2018,"Statistical Area 2","246400","Naenae South","2","No Maori descent","1770"," 64.5"
2018,"Statistical Area 2","246400","Naenae South","4","Don't know","84","  3.1"
2018,"Statistical Area 2","246400","Naenae South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246400","Naenae South","9","Not stated","0",".."
2018,"Statistical Area 2","246400","Naenae South","Total","Total","2745",".."
2018,"Statistical Area 2","246400","Naenae South","Total stated","Total stated","2745","100.0"
2018,"Statistical Area 2","246500","Towai","1","Maori descent","C","C"
2018,"Statistical Area 2","246500","Towai","2","No Maori descent","C","C"
2018,"Statistical Area 2","246500","Towai","4","Don't know","C","C"
2018,"Statistical Area 2","246500","Towai","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","246500","Towai","9","Not stated","C",".."
2018,"Statistical Area 2","246500","Towai","Total","Total","0",".."
2018,"Statistical Area 2","246500","Towai","Total stated","Total stated","C","C"
2018,"Statistical Area 2","246600","Arakura","1","Maori descent","1026"," 36.7"
2018,"Statistical Area 2","246600","Arakura","2","No Maori descent","1683"," 60.3"
2018,"Statistical Area 2","246600","Arakura","4","Don't know","84","  3.0"
2018,"Statistical Area 2","246600","Arakura","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246600","Arakura","9","Not stated","0",".."
2018,"Statistical Area 2","246600","Arakura","Total","Total","2793",".."
2018,"Statistical Area 2","246600","Arakura","Total stated","Total stated","2793","100.0"
2018,"Statistical Area 2","246700","Eastern Bays","1","Maori descent","150","  7.2"
2018,"Statistical Area 2","246700","Eastern Bays","2","No Maori descent","1902"," 91.5"
2018,"Statistical Area 2","246700","Eastern Bays","4","Don't know","27","  1.3"
2018,"Statistical Area 2","246700","Eastern Bays","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246700","Eastern Bays","9","Not stated","0",".."
2018,"Statistical Area 2","246700","Eastern Bays","Total","Total","2079",".."
2018,"Statistical Area 2","246700","Eastern Bays","Total stated","Total stated","2079","100.0"
2018,"Statistical Area 2","246800","Pencarrow","1","Maori descent","102"," 15.7"
2018,"Statistical Area 2","246800","Pencarrow","2","No Maori descent","534"," 82.0"
2018,"Statistical Area 2","246800","Pencarrow","4","Don't know","18","  2.8"
2018,"Statistical Area 2","246800","Pencarrow","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246800","Pencarrow","9","Not stated","0",".."
2018,"Statistical Area 2","246800","Pencarrow","Total","Total","651",".."
2018,"Statistical Area 2","246800","Pencarrow","Total stated","Total stated","651","100.0"
2018,"Statistical Area 2","246900","Wainuiomata West","1","Maori descent","888"," 24.9"
2018,"Statistical Area 2","246900","Wainuiomata West","2","No Maori descent","2598"," 72.8"
2018,"Statistical Area 2","246900","Wainuiomata West","4","Don't know","84","  2.4"
2018,"Statistical Area 2","246900","Wainuiomata West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","246900","Wainuiomata West","9","Not stated","0",".."
2018,"Statistical Area 2","246900","Wainuiomata West","Total","Total","3570",".."
2018,"Statistical Area 2","246900","Wainuiomata West","Total stated","Total stated","3570","100.0"
2018,"Statistical Area 2","247000","Glendale","1","Maori descent","1578"," 39.0"
2018,"Statistical Area 2","247000","Glendale","2","No Maori descent","2376"," 58.7"
2018,"Statistical Area 2","247000","Glendale","4","Don't know","99","  2.4"
2018,"Statistical Area 2","247000","Glendale","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247000","Glendale","9","Not stated","0",".."
2018,"Statistical Area 2","247000","Glendale","Total","Total","4050",".."
2018,"Statistical Area 2","247000","Glendale","Total stated","Total stated","4050","100.0"
2018,"Statistical Area 2","247100","Wainuiomata Central","1","Maori descent","534"," 29.6"
2018,"Statistical Area 2","247100","Wainuiomata Central","2","No Maori descent","1239"," 68.7"
2018,"Statistical Area 2","247100","Wainuiomata Central","4","Don't know","30","  1.7"
2018,"Statistical Area 2","247100","Wainuiomata Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247100","Wainuiomata Central","9","Not stated","0",".."
2018,"Statistical Area 2","247100","Wainuiomata Central","Total","Total","1803",".."
2018,"Statistical Area 2","247100","Wainuiomata Central","Total stated","Total stated","1803","100.0"
2018,"Statistical Area 2","247200","Eastbourne","1","Maori descent","216","  8.0"
2018,"Statistical Area 2","247200","Eastbourne","2","No Maori descent","2451"," 90.5"
2018,"Statistical Area 2","247200","Eastbourne","4","Don't know","45","  1.7"
2018,"Statistical Area 2","247200","Eastbourne","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247200","Eastbourne","9","Not stated","0",".."
2018,"Statistical Area 2","247200","Eastbourne","Total","Total","2709",".."
2018,"Statistical Area 2","247200","Eastbourne","Total stated","Total stated","2709","100.0"
2018,"Statistical Area 2","247300","Homedale East","1","Maori descent","954"," 31.1"
2018,"Statistical Area 2","247300","Homedale East","2","No Maori descent","2019"," 65.9"
2018,"Statistical Area 2","247300","Homedale East","4","Don't know","90","  2.9"
2018,"Statistical Area 2","247300","Homedale East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247300","Homedale East","9","Not stated","0",".."
2018,"Statistical Area 2","247300","Homedale East","Total","Total","3063",".."
2018,"Statistical Area 2","247300","Homedale East","Total stated","Total stated","3063","100.0"
2018,"Statistical Area 2","247400","Homedale West","1","Maori descent","798"," 30.3"
2018,"Statistical Area 2","247400","Homedale West","2","No Maori descent","1770"," 67.3"
2018,"Statistical Area 2","247400","Homedale West","4","Don't know","63","  2.4"
2018,"Statistical Area 2","247400","Homedale West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247400","Homedale West","9","Not stated","0",".."
2018,"Statistical Area 2","247400","Homedale West","Total","Total","2631",".."
2018,"Statistical Area 2","247400","Homedale West","Total stated","Total stated","2631","100.0"
2018,"Statistical Area 2","247500","Makara-Ohariu","1","Maori descent","105"," 11.0"
2018,"Statistical Area 2","247500","Makara-Ohariu","2","No Maori descent","825"," 86.8"
2018,"Statistical Area 2","247500","Makara-Ohariu","4","Don't know","21","  2.2"
2018,"Statistical Area 2","247500","Makara-Ohariu","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247500","Makara-Ohariu","9","Not stated","0",".."
2018,"Statistical Area 2","247500","Makara-Ohariu","Total","Total","951",".."
2018,"Statistical Area 2","247500","Makara-Ohariu","Total stated","Total stated","951","100.0"
2018,"Statistical Area 2","247600","Tawa North","1","Maori descent","402"," 12.6"
2018,"Statistical Area 2","247600","Tawa North","2","No Maori descent","2712"," 85.0"
2018,"Statistical Area 2","247600","Tawa North","4","Don't know","75","  2.4"
2018,"Statistical Area 2","247600","Tawa North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247600","Tawa North","9","Not stated","0",".."
2018,"Statistical Area 2","247600","Tawa North","Total","Total","3189",".."
2018,"Statistical Area 2","247600","Tawa North","Total stated","Total stated","3189","100.0"
2018,"Statistical Area 2","247700","Linden","1","Maori descent","534"," 16.4"
2018,"Statistical Area 2","247700","Linden","2","No Maori descent","2634"," 80.8"
2018,"Statistical Area 2","247700","Linden","4","Don't know","87","  2.7"
2018,"Statistical Area 2","247700","Linden","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247700","Linden","9","Not stated","0",".."
2018,"Statistical Area 2","247700","Linden","Total","Total","3258",".."
2018,"Statistical Area 2","247700","Linden","Total stated","Total stated","3258","100.0"
2018,"Statistical Area 2","247800","Tawa South","1","Maori descent","345"," 10.1"
2018,"Statistical Area 2","247800","Tawa South","2","No Maori descent","3030"," 88.4"
2018,"Statistical Area 2","247800","Tawa South","4","Don't know","51","  1.5"
2018,"Statistical Area 2","247800","Tawa South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247800","Tawa South","9","Not stated","0",".."
2018,"Statistical Area 2","247800","Tawa South","Total","Total","3426",".."
2018,"Statistical Area 2","247800","Tawa South","Total stated","Total stated","3426","100.0"
2018,"Statistical Area 2","247900","Tawa Central","1","Maori descent","282"," 10.7"
2018,"Statistical Area 2","247900","Tawa Central","2","No Maori descent","2313"," 87.5"
2018,"Statistical Area 2","247900","Tawa Central","4","Don't know","45","  1.7"
2018,"Statistical Area 2","247900","Tawa Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","247900","Tawa Central","9","Not stated","0",".."
2018,"Statistical Area 2","247900","Tawa Central","Total","Total","2643",".."
2018,"Statistical Area 2","247900","Tawa Central","Total stated","Total stated","2643","100.0"
2018,"Statistical Area 2","248000","Grenada North","1","Maori descent","303"," 13.3"
2018,"Statistical Area 2","248000","Grenada North","2","No Maori descent","1929"," 84.4"
2018,"Statistical Area 2","248000","Grenada North","4","Don't know","51","  2.2"
2018,"Statistical Area 2","248000","Grenada North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248000","Grenada North","9","Not stated","0",".."
2018,"Statistical Area 2","248000","Grenada North","Total","Total","2286",".."
2018,"Statistical Area 2","248000","Grenada North","Total stated","Total stated","2286","100.0"
2018,"Statistical Area 2","248100","Churton Park North","1","Maori descent","204","  5.3"
2018,"Statistical Area 2","248100","Churton Park North","2","No Maori descent","3600"," 93.3"
2018,"Statistical Area 2","248100","Churton Park North","4","Don't know","54","  1.4"
2018,"Statistical Area 2","248100","Churton Park North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248100","Churton Park North","9","Not stated","0",".."
2018,"Statistical Area 2","248100","Churton Park North","Total","Total","3858",".."
2018,"Statistical Area 2","248100","Churton Park North","Total stated","Total stated","3858","100.0"
2018,"Statistical Area 2","248200","Takapu-Horokiwi","1","Maori descent","27","  9.9"
2018,"Statistical Area 2","248200","Takapu-Horokiwi","2","No Maori descent","231"," 84.6"
2018,"Statistical Area 2","248200","Takapu-Horokiwi","4","Don't know","15","  5.5"
2018,"Statistical Area 2","248200","Takapu-Horokiwi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248200","Takapu-Horokiwi","9","Not stated","0",".."
2018,"Statistical Area 2","248200","Takapu-Horokiwi","Total","Total","273",".."
2018,"Statistical Area 2","248200","Takapu-Horokiwi","Total stated","Total stated","273","100.0"
2018,"Statistical Area 2","248300","Churton Park South","1","Maori descent","249","  7.3"
2018,"Statistical Area 2","248300","Churton Park South","2","No Maori descent","3081"," 90.7"
2018,"Statistical Area 2","248300","Churton Park South","4","Don't know","66","  1.9"
2018,"Statistical Area 2","248300","Churton Park South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248300","Churton Park South","9","Not stated","0",".."
2018,"Statistical Area 2","248300","Churton Park South","Total","Total","3396",".."
2018,"Statistical Area 2","248300","Churton Park South","Total stated","Total stated","3396","100.0"
2018,"Statistical Area 2","248400","Johnsonville West","1","Maori descent","294","  8.7"
2018,"Statistical Area 2","248400","Johnsonville West","2","No Maori descent","3033"," 90.0"
2018,"Statistical Area 2","248400","Johnsonville West","4","Don't know","45","  1.3"
2018,"Statistical Area 2","248400","Johnsonville West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248400","Johnsonville West","9","Not stated","0",".."
2018,"Statistical Area 2","248400","Johnsonville West","Total","Total","3369",".."
2018,"Statistical Area 2","248400","Johnsonville West","Total stated","Total stated","3369","100.0"
2018,"Statistical Area 2","248500","Grenada Village","1","Maori descent","177"," 10.4"
2018,"Statistical Area 2","248500","Grenada Village","2","No Maori descent","1509"," 88.6"
2018,"Statistical Area 2","248500","Grenada Village","4","Don't know","21","  1.2"
2018,"Statistical Area 2","248500","Grenada Village","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248500","Grenada Village","9","Not stated","0",".."
2018,"Statistical Area 2","248500","Grenada Village","Total","Total","1704",".."
2018,"Statistical Area 2","248500","Grenada Village","Total stated","Total stated","1704","100.0"
2018,"Statistical Area 2","248600","Johnsonville North","1","Maori descent","345"," 10.6"
2018,"Statistical Area 2","248600","Johnsonville North","2","No Maori descent","2826"," 87.1"
2018,"Statistical Area 2","248600","Johnsonville North","4","Don't know","72","  2.2"
2018,"Statistical Area 2","248600","Johnsonville North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248600","Johnsonville North","9","Not stated","0",".."
2018,"Statistical Area 2","248600","Johnsonville North","Total","Total","3243",".."
2018,"Statistical Area 2","248600","Johnsonville North","Total stated","Total stated","3243","100.0"
2018,"Statistical Area 2","248700","Paparangi","1","Maori descent","345"," 12.0"
2018,"Statistical Area 2","248700","Paparangi","2","No Maori descent","2472"," 86.0"
2018,"Statistical Area 2","248700","Paparangi","4","Don't know","57","  2.0"
2018,"Statistical Area 2","248700","Paparangi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248700","Paparangi","9","Not stated","0",".."
2018,"Statistical Area 2","248700","Paparangi","Total","Total","2874",".."
2018,"Statistical Area 2","248700","Paparangi","Total stated","Total stated","2874","100.0"
2018,"Statistical Area 2","248800","Ngaio North","1","Maori descent","231","  9.1"
2018,"Statistical Area 2","248800","Ngaio North","2","No Maori descent","2268"," 89.0"
2018,"Statistical Area 2","248800","Ngaio North","4","Don't know","48","  1.9"
2018,"Statistical Area 2","248800","Ngaio North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","248800","Ngaio North","9","Not stated","0",".."
2018,"Statistical Area 2","248800","Ngaio North","Total","Total","2547",".."
2018,"Statistical Area 2","248800","Ngaio North","Total stated","Total stated","2547","100.0"
2018,"Statistical Area 2","248900","Johnsonville Central","1","Maori descent","411"," 14.7"
2018,"Statistical Area 2","248900","Johnsonville Central","2","No Maori descent","2340"," 83.5"
